gift_id,occasion,gift_name,category,price_usd,giver_age,receiver_age,relationship,purchase_channel,country,date,message
GFT100055,Eid,Gift Hamper,Food & Beverage,123.68,66,41,Relative,Online,USA,2020-01-10,A small gift for your Eid.
GFT100056,Anniversary,Flowers,Flowers,140.34,16,1,Acquaintance,In-store,Australia,2018-05-23,Wishing you a wonderful Anniversary.
GFT100057,Birthday,Book,Books,20.65,43,26,Self,Online,UAE,2023-07-05,Wishing you a wonderful Birthday.
GFT100058,Birthday,Perfume,Personal Care,124.78,30,50,Colleague,Online,USA,2022-02-20,Congrats on your Birthday!
GFT100059,Mother's Day,Chocolates,Food,125.79,42,44,Acquaintance,Online,India,2019-09-19,With love on your Mother's Day.
GFT100060,Birthday,Book,Books,18.82,17,39,Acquaintance,Online,India,2025-03-12,A small gift for your Birthday.
GFT100061,Anniversary,Jewelry,Accessories,125.29,70,62,Colleague,Online,India,2024-04-19,Happy Anniversary! Hope you like it.
GFT100062,Anniversary,Wine,Food & Beverage,159.13,47,46,Family,Online,India,2018-07-27,With love on your Anniversary.
GFT100063,Christmas,Hot Cocoa Set,Food & Beverage,53.3,21,16,Partner,In-store,India,2022-02-06,Wishing you a wonderful Christmas.
GFT100064,Birthday,Headphones,Electronics,638.6,67,38,Partner,Online,India,2022-09-03,A small gift for your Birthday.
GFT100065,Anniversary,Couple Watch Set,Accessories,149.36,41,20,Colleague,In-store,USA,2024-11-09,Congrats on your Anniversary!
GFT100066,Father's Day,Tool Kit,Tools,138.88,34,53,Partner,In-store,UK,2023-06-26,With love on your Father's Day.
GFT100067,Christmas,Board Game,Toys,44.6,32,10,Friend,In-store,USA,2020-09-20,Happy Christmas! Hope you like it.
GFT100068,Graduation,Books,Accessories,114.36,51,35,Self,In-store,Germany,2018-06-02,Wishing you a wonderful Graduation.
GFT100069,Christmas,Christmas Ornament,Home Decor,7.38,22,13,Family,In-store,UK,2020-02-02,Happy Christmas! Hope you like it.
GFT100070,Housewarming,Doormat,Home Decor,155.08,31,42,Partner,In-store,India,2019-04-30,Congrats on your Housewarming!
GFT100071,Anniversary,Wine,Food & Beverage,94.36,30,43,Acquaintance,Online,Australia,2023-11-23,Congrats on your Anniversary!
GFT100072,Christmas,Gift Basket,Food & Beverage,38.32,58,79,Partner,In-store,India,2018-01-13,Wishing you a wonderful Christmas.
GFT100073,Wedding,Toaster,Home Appliances,834.36,57,82,Self,Online,Germany,2019-05-01,Wishing you a wonderful Wedding.
GFT100074,Diwali,Clothes,Stationery,14.19,16,1,Family,Online,USA,2023-01-03,A small gift for your Diwali.
GFT100075,Baby Shower,Baby Clothes,Baby,115.56,18,23,Self,In-store,UAE,2025-01-08,Congrats on your Baby Shower!
GFT100076,Wedding,Toaster,Home Appliances,387.12,28,19,Relative,Online,USA,2022-02-28,Happy Wedding! Hope you like it.
GFT100077,Wedding,Kitchen Set,Home Appliances,391.59,53,68,Family,Online,India,2021-08-10,With love on your Wedding.
GFT100078,Valentine's Day,Couple Ring,Accessories,72.15,36,20,Colleague,Online,India,2024-03-05,With love on your Valentine's Day.
GFT100079,Anniversary,Perfume,Personal Care,116.15,29,3,Relative,Online,India,2023-02-11,With love on your Anniversary.
GFT100080,Birthday,Backpack,Bags,207.28,40,15,Partner,Handmade,USA,2020-09-23,Wishing you a wonderful Birthday.
GFT100081,Anniversary,Perfume,Personal Care,181.07,59,85,Self,Online,India,2018-11-01,With love on your Anniversary.
GFT100082,Eid,Sweets Box,Food,57.38,37,10,Friend,Online,Australia,2021-10-27,A small gift for your Eid.
GFT100083,Housewarming,Serving Tray,Home Appliances,152.25,39,29,Partner,Online,India,2021-06-16,Congrats on your Housewarming!
GFT100084,Valentine's Day,Heart Necklace,Accessories,32.91,39,19,Family,Online,India,2019-08-21,Happy Valentine's Day! Hope you like it.
GFT100085,Birthday,Gift Card,Gift Cards,187.46,34,24,Self,Handmade,India,2021-07-10,Wishing you a wonderful Birthday.
GFT100086,Diwali,Gift Hamper,Food & Beverage,276.71,19,41,Acquaintance,In-store,USA,2023-08-08,Wishing you a wonderful Diwali.
GFT100087,Graduation,Backpack,Bags,189.31,37,17,Relative,In-store,USA,2025-03-27,Congrats on your Graduation!
GFT100088,Diwali,Gift Hamper,Food & Beverage,133.7,24,16,Partner,Online,Australia,2023-11-05,Congrats on your Diwali!
GFT100089,Valentine's Day,Roses,Flowers,121.3,57,54,Colleague,Online,UK,2020-03-19,Congrats on your Valentine's Day!
GFT100090,Wedding,Cash Gift,Cash,887.33,54,35,Acquaintance,In-store,Australia,2024-11-21,A small gift for your Wedding.
GFT100091,Birthday,Teddy Bear,Toys,11.32,37,67,Friend,Online,India,2022-04-22,A small gift for your Birthday.
GFT100092,Christmas,Toy,Toys,74.21,38,42,Acquaintance,In-store,Canada,2022-12-13,A small gift for your Christmas.
GFT100093,Birthday,Sunglasses,Accessories,213.95,67,50,Acquaintance,Online,India,2021-02-25,A small gift for your Birthday.
GFT100094,Wedding,Cutlery Set,Home Appliances,379.98,24,30,Relative,Online,USA,2023-01-26,Happy Wedding! Hope you like it.
GFT100095,Graduation,Laptop,Electronics,22.76,68,56,Partner,Online,India,2023-06-11,With love on your Graduation.
GFT100096,Father's Day,Tool Kit,Tools,285.14,25,1,Colleague,In-store,Canada,2020-08-17,Congrats on your Father's Day!
GFT100097,Graduation,Certificate Frame,Accessories,14.48,63,88,Family,In-store,UK,2018-10-08,A small gift for your Graduation.
GFT100098,Wedding,Home Decor,Home Decor,88.49,61,69,Partner,In-store,UK,2025-05-20,With love on your Wedding.
GFT100099,Birthday,Headphones,Electronics,184.01,64,38,Friend,Online,India,2020-06-02,Happy Birthday! Hope you like it.
GFT100100,Eid,Gift Hamper,Food & Beverage,161.23,42,58,Acquaintance,Online,India,2022-11-15,Happy Eid! Hope you like it.
GFT100101,Christmas,Board Game,Toys,65.37,32,35,Friend,Online,UAE,2025-01-14,Happy Christmas! Hope you like it.
GFT100102,Christmas,Board Game,Toys,18.05,60,77,Relative,Online,India,2022-09-01,With love on your Christmas.
GFT100103,Anniversary,Flowers,Flowers,148.07,52,53,Acquaintance,In-store,Canada,2024-02-17,Wishing you a wonderful Anniversary.
GFT100104,Birthday,Sunglasses,Accessories,82.37,48,44,Relative,In-store,USA,2018-12-14,A small gift for your Birthday.
GFT100105,Birthday,Teddy Bear,Toys,32.94,44,34,Colleague,Online,India,2020-04-30,Congrats on your Birthday!
GFT100106,Anniversary,Dinner Voucher,Experience,300.83,30,6,Colleague,Online,Australia,2019-05-13,Happy Anniversary! Hope you like it.
GFT100107,Birthday,Cake,Food,115.65,42,64,Relative,Online,India,2025-08-30,Congrats on your Birthday!
GFT100108,Birthday,Cake,Food,55.19,60,52,Colleague,Online,USA,2024-05-05,A small gift for your Birthday.
GFT100109,Anniversary,Dinner Voucher,Experience,143.94,66,60,Partner,Handmade,UAE,2019-12-13,Wishing you a wonderful Anniversary.
GFT100110,Anniversary,Dinner Voucher,Experience,240.79,54,36,Acquaintance,Online,Canada,2021-08-18,Happy Anniversary! Hope you like it.
GFT100111,Birthday,Teddy Bear,Toys,30.72,37,21,Relative,Online,India,2021-06-10,With love on your Birthday.
GFT100112,Birthday,Watch,Accessories,260.11,55,71,Partner,Online,India,2020-10-19,Happy Birthday! Hope you like it.
GFT100113,Valentine's Day,Roses,Flowers,104.84,19,10,Family,In-store,India,2018-11-04,A small gift for your Valentine's Day.
GFT100114,Eid,Sweets Box,Food,5.55,68,69,Family,Online,India,2018-12-25,With love on your Eid.
GFT100115,Mother's Day,Chocolates,Food,24.29,32,38,Friend,Online,UK,2019-02-01,Happy Mother's Day! Hope you like it.
GFT100116,Graduation,Books,Home Appliances,506.0,22,52,Acquaintance,Online,UAE,2019-11-16,Wishing you a wonderful Graduation.
GFT100117,Mother's Day,Spa Voucher,Experience,208.28,41,18,Colleague,Online,USA,2024-07-14,Happy Mother's Day! Hope you like it.
GFT100118,Eid,Sweets Box,Food,51.67,16,7,Acquaintance,In-store,India,2023-07-07,Happy Eid! Hope you like it.
GFT100119,Diwali,Lamps (Diyas),Home Decor,192.73,48,74,Self,Online,India,2020-04-02,Happy Diwali! Hope you like it.
GFT100120,Anniversary,Wine,Food & Beverage,184.46,39,12,Family,In-store,Canada,2020-05-27,Wishing you a wonderful Anniversary.
GFT100121,Graduation,Certificate Frame,Home Decor,196.29,44,33,Relative,Online,UK,2024-07-22,Happy Graduation! Hope you like it.
GFT100122,Birthday,Book,Books,65.69,58,36,Relative,Online,USA,2021-04-25,With love on your Birthday.
GFT100123,Eid,Gift Hamper,Food & Beverage,85.97,50,68,Family,Handmade,Germany,2025-05-04,Happy Eid! Hope you like it.
GFT100124,Birthday,Cake,Food,28.53,27,18,Colleague,Handmade,Germany,2023-02-18,Wishing you a wonderful Birthday.
GFT100125,Anniversary,Couple Watch Set,Accessories,131.17,27,43,Partner,Handmade,Germany,2023-12-16,Wishing you a wonderful Anniversary.
GFT100126,Birthday,Watch,Accessories,209.15,25,55,Acquaintance,Online,India,2019-06-22,Wishing you a wonderful Birthday.
GFT100127,Housewarming,Serving Tray,Home Appliances,1079.3,55,25,Partner,Online,India,2023-11-02,With love on your Housewarming.
GFT100128,Graduation,Certificate Frame,Electronics,501.49,15,27,Friend,Handmade,Australia,2025-07-03,Congrats on your Graduation!
GFT100129,Birthday,Perfume,Personal Care,130.69,57,68,Family,Online,Germany,2024-12-21,With love on your Birthday.
GFT100130,Father's Day,Tool Kit,Tools,253.87,26,35,Colleague,In-store,UK,2025-09-04,Wishing you a wonderful Father's Day.
GFT100131,Christmas,Toy,Toys,8.8,56,50,Family,In-store,USA,2024-11-15,Happy Christmas! Hope you like it.
GFT100132,Birthday,Teddy Bear,Toys,62.96,56,27,Friend,Online,India,2024-02-28,Happy Birthday! Hope you like it.
GFT100133,Mother's Day,Chocolates,Food,57.52,55,76,Partner,Online,India,2019-03-12,Happy Mother's Day! Hope you like it.
GFT100134,Father's Day,Tie,Clothing,284.14,47,25,Colleague,Online,Canada,2024-03-16,Congrats on your Father's Day!
GFT100135,Father's Day,Tie,Clothing,70.18,53,67,Relative,Online,Germany,2024-02-22,With love on your Father's Day.
GFT100136,Baby Shower,Feeding Bottle,Baby,126.75,49,37,Acquaintance,Online,India,2019-03-13,Happy Baby Shower! Hope you like it.
GFT100137,Valentine's Day,Roses,Flowers,97.71,65,86,Relative,Online,UK,2022-04-12,Congrats on your Valentine's Day!
GFT100138,Christmas,Hot Cocoa Set,Food & Beverage,36.73,26,43,Self,Online,India,2021-02-17,A small gift for your Christmas.
GFT100139,Anniversary,Jewelry,Accessories,243.99,25,21,Self,Online,India,2020-06-25,Wishing you a wonderful Anniversary.
GFT100140,Graduation,Pen Set,Stationery,11.32,61,49,Friend,Handmade,Australia,2022-03-16,A small gift for your Graduation.
GFT100141,Mother's Day,Handbag,Bags,245.02,56,78,Friend,In-store,India,2023-02-24,With love on your Mother's Day.
GFT100142,Birthday,Perfume,Personal Care,40.84,33,53,Relative,Online,India,2022-11-28,Congrats on your Birthday!
GFT100143,Valentine's Day,Love Letter,Personal Care,84.75,49,54,Friend,Online,Canada,2021-11-09,Wishing you a wonderful Valentine's Day.
GFT100144,Christmas,Hot Cocoa Set,Food & Beverage,25.71,23,35,Relative,Online,India,2018-10-13,Wishing you a wonderful Christmas.
GFT100145,Anniversary,Wine,Food & Beverage,184.01,50,26,Family,In-store,India,2021-02-23,Wishing you a wonderful Anniversary.
GFT100146,Father's Day,Wallet,Accessories,189.96,69,57,Family,Online,USA,2022-06-14,With love on your Father's Day.
GFT100147,Christmas,Hot Cocoa Set,Food & Beverage,16.66,65,58,Colleague,Online,USA,2018-07-10,Happy Christmas! Hope you like it.
GFT100148,Diwali,Gift Hamper,Food & Beverage,87.52,53,23,Self,In-store,USA,2020-07-31,Happy Diwali! Hope you like it.
GFT100149,Christmas,Gift Basket,Food & Beverage,182.28,24,1,Family,Online,India,2022-07-19,A small gift for your Christmas.
GFT100150,Diwali,Sweets,Food,16.16,39,33,Family,Online,India,2023-08-28,Congrats on your Diwali!
GFT100151,Mother's Day,Chocolates,Food,109.27,45,65,Acquaintance,Online,USA,2025-10-24,A small gift for your Mother's Day.
GFT100152,Birthday,Teddy Bear,Toys,52.12,69,73,Colleague,Online,UK,2025-08-19,Congrats on your Birthday!
GFT100153,Housewarming,Wall Art,Home Decor,264.37,59,72,Relative,Online,India,2025-02-17,Happy Housewarming! Hope you like it.
GFT100154,Mother's Day,Spa Voucher,Experience,356.51,33,15,Friend,In-store,USA,2025-10-31,Wishing you a wonderful Mother's Day.
GFT100155,Graduation,Certificate Frame,Toys,57.5,27,26,Colleague,Online,India,2022-07-26,A small gift for your Graduation.
GFT100156,Birthday,Perfume,Personal Care,97.28,55,75,Family,In-store,India,2021-07-17,Congrats on your Birthday!
GFT100157,Diwali,Home Decor,Home Decor,419.14,28,12,Family,In-store,Australia,2021-12-29,Wishing you a wonderful Diwali.
GFT100158,Mother's Day,Flowers,Flowers,99.05,66,63,Colleague,Handmade,India,2021-11-23,Congrats on your Mother's Day!
GFT100159,Father's Day,Wallet,Accessories,214.67,69,64,Partner,Online,USA,2024-06-16,Wishing you a wonderful Father's Day.
GFT100160,Mother's Day,Perfume,Personal Care,73.99,18,1,Acquaintance,Online,Australia,2019-01-30,Congrats on your Mother's Day!
GFT100161,Housewarming,Doormat,Home Decor,237.07,44,54,Family,In-store,UK,2021-10-13,Congrats on your Housewarming!
GFT100162,Graduation,Books,Food & Beverage,54.33,62,76,Relative,Online,India,2019-02-26,Happy Graduation! Hope you like it.
GFT100163,Birthday,Backpack,Bags,280.88,44,69,Self,Handmade,USA,2019-07-08,A small gift for your Birthday.
GFT100164,Birthday,Backpack,Bags,151.05,46,76,Acquaintance,Online,India,2022-10-30,With love on your Birthday.
GFT100165,Graduation,Laptop,Electronics,454.31,69,43,Family,Online,India,2023-02-09,A small gift for your Graduation.
GFT100166,Christmas,Hot Cocoa Set,Food & Beverage,84.34,20,43,Acquaintance,Handmade,India,2022-05-27,Happy Christmas! Hope you like it.
GFT100167,Wedding,Kitchen Set,Home Appliances,197.23,61,33,Relative,Handmade,USA,2020-11-03,Congrats on your Wedding!
GFT100168,Graduation,Backpack,Bags,14.93,54,45,Acquaintance,In-store,India,2025-03-25,Wishing you a wonderful Graduation.
GFT100169,Baby Shower,Baby Clothes,Baby,116.52,44,31,Acquaintance,In-store,UAE,2024-03-21,Wishing you a wonderful Baby Shower.
GFT100170,Birthday,Teddy Bear,Toys,30.87,35,31,Relative,Online,India,2025-05-22,Happy Birthday! Hope you like it.
GFT100171,Birthday,Teddy Bear,Toys,44.18,18,11,Self,In-store,Germany,2022-02-20,Happy Birthday! Hope you like it.
GFT100172,Mother's Day,Perfume,Personal Care,15.28,57,54,Friend,Online,India,2022-07-03,A small gift for your Mother's Day.
GFT100173,Valentine's Day,Chocolates,Food,29.71,61,33,Partner,Online,USA,2021-05-21,Happy Valentine's Day! Hope you like it.
GFT100174,Anniversary,Jewelry,Accessories,264.8,61,35,Relative,Online,USA,2023-06-23,A small gift for your Anniversary.
GFT100175,Mother's Day,Flowers,Flowers,18.97,35,39,Self,Online,USA,2020-06-23,Wishing you a wonderful Mother's Day.
GFT100176,Birthday,Sunglasses,Accessories,192.38,50,59,Relative,Online,India,2020-12-26,Congrats on your Birthday!
GFT100177,Anniversary,Photo Frame,Home Decor,47.72,62,35,Family,Handmade,UAE,2021-03-24,Happy Anniversary! Hope you like it.
GFT100178,Valentine's Day,Roses,Flowers,205.67,18,17,Relative,Handmade,India,2025-05-28,With love on your Valentine's Day.
GFT100179,Graduation,Certificate Frame,Toys,55.95,40,57,Family,Online,UK,2021-12-26,With love on your Graduation.
GFT100180,Anniversary,Photo Frame,Home Decor,80.84,34,62,Self,Online,USA,2020-04-26,Wishing you a wonderful Anniversary.
GFT100181,Wedding,Vase,Home Decor,244.92,41,37,Partner,Online,UAE,2025-02-21,With love on your Wedding.
GFT100182,Birthday,Cake,Food,46.66,29,1,Colleague,In-store,India,2021-01-10,Congrats on your Birthday!
GFT100183,Birthday,Cake,Food,49.44,17,20,Friend,Online,Australia,2018-06-23,Wishing you a wonderful Birthday.
GFT100184,Christmas,Toy,Toys,44.0,52,82,Relative,Online,India,2021-08-17,Congrats on your Christmas!
GFT100185,Birthday,Backpack,Bags,224.44,17,36,Family,Handmade,USA,2025-05-25,Wishing you a wonderful Birthday.
GFT100186,Birthday,Teddy Bear,Toys,27.29,44,40,Colleague,Online,UK,2020-09-29,A small gift for your Birthday.
GFT100187,Anniversary,Couple Watch Set,Accessories,207.24,44,61,Self,Online,India,2021-05-10,With love on your Anniversary.
GFT100188,Valentine's Day,Plush Toy,Toys,54.63,33,30,Self,In-store,India,2024-06-13,A small gift for your Valentine's Day.
GFT100189,Valentine's Day,Chocolates,Food,52.94,15,25,Family,In-store,India,2018-10-05,With love on your Valentine's Day.
GFT100190,Anniversary,Photo Frame,Home Decor,72.81,67,63,Relative,Online,USA,2024-05-03,With love on your Anniversary.
GFT100191,Wedding,Toaster,Home Appliances,318.07,20,21,Family,Online,Australia,2021-05-24,Wishing you a wonderful Wedding.
GFT100192,Christmas,Christmas Ornament,Home Decor,48.64,17,16,Colleague,In-store,USA,2018-01-17,With love on your Christmas.
GFT100193,Eid,Sweets Box,Food,64.68,28,32,Partner,Online,India,2025-11-25,With love on your Eid.
GFT100194,Wedding,Kitchen Set,Home Appliances,122.63,66,70,Friend,Handmade,Canada,2023-03-23,A small gift for your Wedding.
GFT100195,Birthday,Backpack,Bags,209.73,25,13,Acquaintance,Online,USA,2023-09-12,Happy Birthday! Hope you like it.
GFT100196,Christmas,Hot Cocoa Set,Food & Beverage,108.49,57,31,Relative,Handmade,USA,2023-06-17,Happy Christmas! Hope you like it.
GFT100197,Wedding,Cash Gift,Cash,831.32,49,37,Colleague,In-store,USA,2020-04-22,With love on your Wedding.
GFT100198,Anniversary,Perfume,Personal Care,169.38,30,27,Relative,Online,UK,2025-12-25,Congrats on your Anniversary!
GFT100199,Christmas,Toy,Toys,15.79,70,69,Acquaintance,In-store,UAE,2024-12-27,Wishing you a wonderful Christmas.
GFT100200,Christmas,Toy,Toys,21.96,48,72,Acquaintance,In-store,USA,2018-11-17,A small gift for your Christmas.
GFT100201,Father's Day,Tool Kit,Tools,123.76,53,70,Partner,In-store,USA,2018-09-09,Congrats on your Father's Day!
GFT100202,Wedding,Home Decor,Home Decor,222.11,65,79,Family,Online,Australia,2018-05-16,With love on your Wedding.
GFT100203,Diwali,Lamps (Diyas),Home Decor,270.69,49,33,Colleague,In-store,India,2020-12-11,Wishing you a wonderful Diwali.
GFT100204,Christmas,Toy,Toys,33.2,30,46,Relative,Online,India,2021-10-14,Wishing you a wonderful Christmas.
GFT100205,Anniversary,Flowers,Flowers,28.04,39,51,Acquaintance,In-store,USA,2020-01-27,Happy Anniversary! Hope you like it.
GFT100206,Baby Shower,Toy Set,Baby,33.99,27,36,Colleague,Online,USA,2019-08-13,A small gift for your Baby Shower.
GFT100207,Housewarming,Cookware,Home Appliances,1116.27,46,46,Colleague,Online,Canada,2018-10-15,A small gift for your Housewarming.
GFT100208,Birthday,Sunglasses,Accessories,183.17,27,16,Relative,Online,India,2025-09-22,With love on your Birthday.
GFT100209,Christmas,Hot Cocoa Set,Food & Beverage,229.31,57,60,Colleague,Handmade,Germany,2024-01-07,Wishing you a wonderful Christmas.
GFT100210,Housewarming,Cookware,Home Appliances,222.17,29,3,Acquaintance,Online,India,2025-08-10,Congrats on your Housewarming!
GFT100211,Anniversary,Couple Watch Set,Accessories,105.33,46,21,Friend,Online,UAE,2025-12-04,A small gift for your Anniversary.
GFT100212,Father's Day,Tie,Clothing,5.47,48,24,Self,Online,Canada,2024-01-20,A small gift for your Father's Day.
GFT100213,Birthday,Cake,Food,62.83,16,17,Self,Online,Germany,2022-12-27,A small gift for your Birthday.
GFT100214,Wedding,Cash Gift,Cash,585.94,37,24,Family,Online,India,2024-05-18,Happy Wedding! Hope you like it.
GFT100215,Anniversary,Flowers,Flowers,77.3,42,59,Acquaintance,Online,India,2024-07-01,Wishing you a wonderful Anniversary.
GFT100216,Father's Day,Gadget,Electronics,558.72,30,41,Friend,Online,UK,2019-10-25,Congrats on your Father's Day!
GFT100217,Father's Day,Gadget,Electronics,612.53,58,33,Self,In-store,Canada,2018-08-13,A small gift for your Father's Day.
GFT100218,Eid,Perfume,Personal Care,46.12,37,64,Partner,Online,USA,2018-08-12,Happy Eid! Hope you like it.
GFT100219,Valentine's Day,Plush Toy,Toys,25.67,25,12,Friend,In-store,USA,2020-04-16,A small gift for your Valentine's Day.
GFT100220,Diwali,Sweets,Food,47.7,50,48,Colleague,Online,India,2021-06-09,Wishing you a wonderful Diwali.
GFT100221,Mother's Day,Spa Voucher,Experience,333.23,38,19,Family,Online,India,2021-07-22,With love on your Mother's Day.
